1oac d -850.2 7166.8 6375.4
1trk d -518.0 4486.7 3883.6
1csh d -491.2 5057.6 4516.1
1ad3 d -480.6 3940.9 3582.1
3grs d -475.5 3302.1 2890.6
1alk d -464.2 3832.9 3249.1
1iso d -438.4 3307.0 2691.2
1nox d -408.5 3033.2 2611.9
1ajs d -389.2 3426.3 2933.3
1aq6 d -375.8 2222.3 1536.5
1tys d -326.6 2328.4 1845.3
1moq d -322.1 2532.2 2033.1
2ilk d -306.3 2279.7  877.3
1uby d -292.2 2167.7  400.9
1fro d -284.4 3629.5 3413.0
1chm d -281.0 3321.1 2911.7
2tct d -271.9 2675.3 2120.1
1puc d -270.5 2175.1 1675.7
1nsy d -267.2 2616.4 2083.9
1ses d -266.3 2233.3 1737.0
1jhg d -259.1 2207.4 1837.8
1aor d -257.2 1232.2  856.1
1ctt d -256.3 1990.2 1555.8
1tox d -251.7 3720.5 3136.6
1smt d -245.1 1967.1 1556.2
1bsr d -236.4 1921.7 1663.6
1afw d -234.9 2400.4 1975.4
1daa d -231.5 2302.0 1785.0
3pgh d -227.6 2379.1 2007.6
1cmb d -226.6 1813.4 1327.8
1amk d -219.8 1477.0 1024.5
1mjl d -219.5 1774.8 1275.9
1buo d -212.9 1971.9 1465.6
1utg d -187.5 1485.6 1239.7
1rpo d -184.2 1404.7 1152.5
1fip d -182.9 1611.9 1250.0
1imb d -180.4 1649.8 1186.4
5tmp d -174.3 1187.2  473.6
9wga d -173.3 2301.7 2088.2
2rsp d -170.8 1491.2  856.9
1kpf d -164.6 1867.4 1393.3
1mka d -164.5 1618.8 1186.1
1aom d -140.4 1241.3  818.2
2tgi d -134.3 1262.6  643.9
1otp d -128.4  822.7  308.6
1hss d -125.7 1097.4  611.8
1sox d -123.9 1413.8 1022.6
1smn d -123.7  867.3  485.4
3sdh d -123.4  886.1  478.7
1pgt d -112.9 1232.3  828.2
1isa d -111.8  921.4  566.2
1alo d -111.6 1214.9  643.0
1czj d -111.4  828.9  472.5
1lyn d -109.6  949.4   66.1
4kbp d -108.8 1462.1 1026.0
1feh m -107.3 1563.3 1100.5
1pre d -107.2 2295.8 2021.3
1cg2 d -102.7 1305.1  802.0
1icw d -102.2  985.6  613.6
1ckm m -101.3 1544.5   52.6
5csm d -100.6 1825.8 1070.1
1opy d  -99.8 1047.6  398.4
1bam d  -98.5  745.0  444.8
1rfb d  -97.9 2649.2 2300.3
3ssi d  -93.5  866.2  612.7
1ako m  -91.9  849.8  148.0
2ccy d  -86.9  806.9  548.6
1wgj d  -84.1  958.9  389.0
1avp m  -83.1  812.5  356.3
1bif d  -82.0  898.2  454.4
1a3c d  -81.4  987.6  337.1
1ton m  -81.0  714.9  298.7
1gvp d  -78.3  907.8  442.0
1hjr d  -70.5  952.9  398.2
2atj m  -69.7  565.6    0.0
2hex m  -69.3  578.0  258.2
